GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deliveries-engine,deliveries_engine.exception,ErrorWarning,4,0,0,0,2,0,1,0,1,0
deliveries-engine,deliveries_engine.service,StoreServiceImp,20,3,2,0,4,1,2,1,1,1
deliveries-engine,deliveries_engine.service,RiderServiceImp,73,9,6,0,18,4,4,1,1,1
deliveries-engine,deliveries_engine.service,UserDetailsServiceImpl,30,6,2,0,6,3,2,1,1,1
deliveries-engine,deliveries_engine.service,JwtTokenService,60,3,0,0,22,1,4,1,4,1
deliveries-engine,deliveries_engine.service,ServiceImp,3,0,0,0,1,0,1,0,1,0
deliveries-engine,deliveries_engine.security,JwtAuthenticationFilter,77,12,0,0,16,5,3,1,3,1
deliveries-engine,deliveries_engine.security,SecurityConfig,0,80,0,0,0,17,0,3,0,3
deliveries-engine,deliveries_engine.security,JWTAuthorizationFilter,82,18,9,1,22,7,6,2,1,2
deliveries-engine,deliveries_engine.controller,RiderController,3,8,0,0,2,2,2,2,2,2
deliveries-engine,deliveries_engine.controller,Controller,1,3,0,0,1,1,1,1,1,1
deliveries-engine,deliveries_engine.controller,StoreController,5,8,0,0,4,2,4,2,4,2
deliveries-engine,deliveries_engine.swagger2,Swagger2Config,0,14,0,0,0,6,0,2,0,2
deliveries-engine,deliveries_engine.model,User,0,79,0,0,0,29,0,13,0,13
deliveries-engine,deliveries_engine.model,Delivery,52,37,0,0,22,14,15,4,15,4
deliveries-engine,deliveries_engine.model,Store,16,32,0,0,6,13,3,8,3,8
deliveries-engine,deliveries_engine.model,Admin,11,8,0,0,2,2,1,1,1,1
deliveries-engine,deliveries_engine.model,Rider,34,35,0,0,8,10,5,5,5,5
deliveries-engine,deliveries_engine,CorsConfiguration,0,46,0,0,0,5,0,2,0,2
deliveries-engine,deliveries_engine,PasswordEncoderConfig,0,7,0,0,0,2,0,2,0,2
deliveries-engine,deliveries_engine,DeliveriesEngineApplication,5,3,0,0,2,1,1,1,1,1
